location,nathaz
Afghanistan,6.2
Albania,5.8
Algeria,4.1
Angola,2.1
Antigua and Barbuda,2.7
Argentina,3.5
Armenia,4.4
Australia,6
Austria,2.4
Azerbaijan,4.5
Bahamas,3.6
Bahrain,0.1
Bangladesh,8.3
Barbados,2.5
Belarus,2.3
Belgium,1.6
Belize,5.2
Benin,1.5
Bhutan,3.2
Bolivia,3.8
Bosnia and Herzegovina,4.2
Botswana,2.7
Brazil,3.7
Brunei Darussalam,2.3
Bulgaria,3.4
Burkina Faso,2.8
Burundi,3
Cabo Verde,1.9
Cambodia,5.4
Cameroon,2.3
Canada,4.9
Central African Republic,1.7
Chad,3.7
Chile,6.6
China,7.9
Colombia,6.5
Comoros,2.6
Congo,2.5
Congo DR,3.3
Costa Rica,6.3
Côte d'Ivoire,2
Croatia,5
Cuba,5.6
Cyprus,3
Czech Republic,2.1
Denmark,1
Djibouti,4.9
Dominica,3.6
Dominican Republic,5.7
Ecuador,6.8
Egypt,5.5
El Salvador,6.1
Equatorial Guinea,1.5
Eritrea,4.1
Estonia,0.9
Ethiopia,4.3
Fiji,3.8
Finland,0.1
France,3.8
Gabon,1.9
Gambia,2.2
Georgia,4.5
Germany,2.2
Ghana,2.4
Greece,4.7
Grenada,0.5
Guatemala,6.9
Guinea,2.4
Guinea-Bissau,2.4
Guyana,3.1
Haiti,5.6
Honduras,5.8
Hungary,3.6
Iceland,1.3
India,7.9
Indonesia,7.8
Iran,7.2
Iraq,5.5
Ireland,2
Israel,4.3
Italy,5
Jamaica,3.7
Japan,8.3
Jordan,3.9
Kazakhstan,4.3
Kenya,4.9
Kiribati,3
Korea DPR,4.8
Korea Republic of,5.2
Kuwait,2.3
Kyrgyzstan,5.9
Lao PDR,4.7
Latvia,2.3
Lebanon,3.7
Lesotho,1.9
Liberia,3
Libya,4.6
Liechtenstein,1.3
Lithuania,1.8
Luxembourg,0.4
Madagascar,5.9
Malawi,3.7
Malaysia,4.8
Maldives,3.1
Mali,3.3
Malta,2.1
Marshall Islands,2.1
Mauritania,5.1
Mauritius,3.4
Mexico,7
Micronesia,3
Moldova Republic of,3.9
Mongolia,3.6
Montenegro,4
Morocco,4.9
Mozambique,5.9
Myanmar,8
Namibia,4.1
Nauru,1.4
Nepal,5.5
Netherlands,1.9
New Zealand,5.2
Nicaragua,6.6
Niger,4.2
Nigeria,2.8
Norway,0.2
Oman,6.2
Pakistan,7.2
Palau,3.1
Palestine,3.2
Panama,4.9
Papua New Guinea,5.3
Paraguay,1.9
Peru,7
Philippines,8.4
Poland,2.4
Portugal,3.6
Qatar,1
Romania,4.7
Russian Federation,6.3
Rwanda,3.2
Saint Kitts and Nevis,1.7
Saint Lucia,1.8
Saint Vincent and the Grenadines,1
Samoa,2.7
Sao Tome and Principe,0.1
Saudi Arabia,2.6
Senegal,4.3
Serbia,4.6
Seychelles,2.5
Sierra Leone,2.3
Singapore,0.1
Slovakia,3.4
Slovenia,3.8
Solomon Islands,5.5
Somalia,6.8
South Africa,4.4
South Sudan,3.7
Spain,4.5
Sri Lanka,4.9
Sudan,4.7
Suriname,3.5
Swaziland,2
Sweden,1.1
Switzerland,1.9
Syria,5.1
Tajikistan,6.1
Tanzania,4.6
Thailand,6.4
The former Yugoslav Republic of Macedonia,3.6
Timor-Leste,3.6
Togo,1.6
Tonga,2.2
Trinidad and Tobago,2.3
Tunisia,4.5
Turkey,6
Turkmenistan,4.6
Tuvalu,2.6
Uganda,3.4
Ukraine,3.2
United Arab Emirates,6
United Kingdom,2.1
United States of America,6.9
Uruguay,1.3
Uzbekistan,6.1
Vanuatu,4.2
Venezuela,5.9
Viet Nam,7.2
Yemen,3.7
Zambia,2.4
Zimbabwe,4.7